Record, Window, FHR
test1.wav , 1 , 132.963989
test1.wav , 2 , 131.291028
test1.wav , 3 , 133.111481
test1.wav , 4 , 132.963989
test1.wav , 5 , 133.333333
test1.wav , 6 , 132.816823
test1.wav , 7 , 133.779264
test1.wav , 8 , 131.651125
test1.wav , 9 , 132.743363
test1.wav , 10 , 132.596685
test1.wav , 11 , 133.481646
test1.wav , 12 , 133.111481
test1.wav , 13 , 131.578947
test1.wav , 14 , 132.743363
test1.wav , 15 , 135.135135
test1.wav , 16 , 134.003350
test2.wav , 1 , 144.491270
test2.wav , 2 , 139.941691
test2.wav , 3 , 161.182001
test2.wav , 4 , 141.760189
test2.wav , 5 , 176.340926
test2.wav , 6 , 136.752137
test2.wav , 7 , 140.597540
test2.wav , 8 , 143.971206
test2.wav , 9 , 146.520147
test2.wav , 10 , 144.927536
test2.wav , 11 , 145.719490
test2.wav , 12 , 143.884892
test2.wav , 13 , NaN
test2.wav , 14 , NaN
test2.wav , 15 , 178.173719
test2.wav , 16 , 206.718346
